Date,Price
27/1/2015,3.907
28/1/2015,3.863
29/1/2015,3.861
30/1/2015,3.809
1/2/2015,3.809
2/2/2015,3.809
3/2/2015,3.809
4/2/2015,3.765
5/2/2015,3.754
6/2/2015,3.774
8/2/2015,3.774
9/2/2015,3.799
10/2/2015,3.818
11/2/2015,3.852
12/2/2015,3.88
13/2/2015,3.868
15/2/2015,3.868
16/2/2015,3.9
17/2/2015,3.886
18/2/2015,3.88
19/2/2015,3.88
23/2/2015,3.883
24/2/2015,3.881
25/2/2015,3.874
26/2/2015,3.864
27/2/2015,3.869
1/3/2015,3.881
2/3/2015,3.883
3/3/2015,3.89
4/3/2015,3.907
5/3/2015,3.913
6/3/2015,3.911
8/3/2015,3.911
9/3/2015,3.958
10/3/2015,3.964
11/3/2015,4.003
12/3/2015,3.958
13/3/2015,3.941
15/3/2015,3.941
16/3/2015,3.941
17/3/2015,3.915
18/3/2015,3.928
19/3/2015,3.901
20/3/2015,3.906
22/3/2015,3.906
23/3/2015,3.9
24/3/2015,3.891
25/3/2015,3.885
26/3/2015,3.887
27/3/2015,3.901
29/3/2015,3.901
30/3/2015,3.904
31/3/2015,3.894
1/4/2015,3.867
2/4/2015,3.855
3/4/2015,3.867
5/4/2015,3.867
6/4/2015,3.841
7/4/2015,3.891
8/4/2015,3.874
9/4/2015,3.864
10/4/2015,3.874
12/4/2015,3.874
13/4/2015,3.874
14/4/2015,3.899
15/4/2015,3.892
16/4/2015,3.889
20/4/2015,3.883
21/4/2015,3.861
22/4/2015,3.858
23/4/2015,3.855
24/4/2015,3.845
26/4/2015,3.845
27/4/2015,3.842
28/4/2015,3.85
29/4/2015,3.862
30/4/2015,3.849
4/5/2015,3.849
5/5/2015,3.854
6/5/2015,3.858
7/5/2015,3.895
8/5/2015,3.904
10/5/2015,3.904
11/5/2015,3.884
12/5/2015,3.919
14/5/2015,3.916
15/5/2015,3.901
17/5/2015,3.901
18/5/2015,3.868
19/5/2015,3.877
20/5/2015,3.88
21/5/2015,3.876
22/5/2015,3.874
24/5/2015,3.874
26/5/2015,3.884
27/5/2015,3.905
28/5/2015,3.904
29/5/2015,3.92
30/5/2015,3.92
31/5/2015,3.92
1/6/2015,3.919
2/6/2015,3.925
3/6/2015,3.963
4/6/2015,4.05
5/6/2015,4.075
7/6/2015,4.075
8/6/2015,4.166
9/6/2015,4.087
10/6/2015,4.126
11/6/2015,4.141
12/6/2015,4.126
14/6/2015,4.126
15/6/2015,4.115
16/6/2015,4.114
17/6/2015,4.043
18/6/2015,4.022
19/6/2015,4.027
21/6/2015,4.027
22/6/2015,4.016
23/6/2015,4.016
24/6/2015,4.024
25/6/2015,4.03
26/6/2015,4.033
28/6/2015,4.033
29/6/2015,4.063
30/6/2015,4.013
1/7/2015,3.938
2/7/2015,3.973
3/7/2015,3.977
5/7/2015,3.977
6/7/2015,4.012
7/7/2015,4.063
8/7/2015,4.06
9/7/2015,4.037
10/7/2015,4.024
12/7/2015,4.024
13/7/2015,4.03
14/7/2015,4.045
15/7/2015,4.039
16/7/2015,4.036
18/7/2015,4.036
19/7/2015,4.036
20/7/2015,3.968
21/7/2015,3.933
22/7/2015,3.917
23/7/2015,3.914
24/7/2015,3.945
26/7/2015,3.945
27/7/2015,3.948
28/7/2015,3.973
29/7/2015,3.988
30/7/2015,4.04
31/7/2015,4.073
2/8/2015,4.073
3/8/2015,4.076
4/8/2015,4.064
5/8/2015,4.082
6/8/2015,4.113
7/8/2015,4.172
9/8/2015,4.172
10/8/2015,4.164
11/8/2015,4.197
12/8/2015,4.228
13/8/2015,4.203
14/8/2015,4.253
16/8/2015,4.253
17/8/2015,4.316
18/8/2015,4.31
19/8/2015,4.275
20/8/2015,4.294
21/8/2015,4.364
23/8/2015,4.376
24/8/2015,4.398
25/8/2015,4.399
26/8/2015,4.453
27/8/2015,4.426
28/8/2015,4.377
31/8/2015,4.377
1/9/2015,4.229
2/9/2015,4.258
3/9/2015,4.245
4/9/2015,4.203
6/9/2015,4.203
7/9/2015,4.239
8/9/2015,4.261
9/9/2015,4.186
10/9/2015,4.199
11/9/2015,4.183
13/9/2015,4.183
14/9/2015,4.155
15/9/2015,4.183
16/9/2015,4.183
17/9/2015,4.168
18/9/2015,4.137
20/9/2015,4.137
21/9/2015,4.14
22/9/2015,4.224
23/9/2015,4.237
24/9/2015,4.237
25/9/2015,4.348
27/9/2015,4.348
28/9/2015,4.415
29/9/2015,4.383
30/9/2015,4.244
1/10/2015,4.134
2/10/2015,4.13
3/10/2015,4.13
4/10/2015,4.13
5/10/2015,4.131
6/10/2015,4.143
7/10/2015,4.147
8/10/2015,4.159
9/10/2015,4.119
11/10/2015,4.119
12/10/2015,4.122
13/10/2015,4.134
14/10/2015,4.134
15/10/2015,4.128
16/10/2015,4.128
18/10/2015,4.128
19/10/2015,4.135
20/10/2015,4.128
21/10/2015,4.141
22/10/2015,4.138
23/10/2015,4.135
25/10/2015,4.135
26/10/2015,4.103
27/10/2015,4.103
28/10/2015,4.088
29/10/2015,4.119
30/10/2015,4.126
1/11/2015,4.126
2/11/2015,4.148
4/11/2015,4.148
5/11/2015,4.148
6/11/2015,4.138
8/11/2015,4.138
9/11/2015,4.243
10/11/2015,4.243
11/11/2015,4.249
12/11/2015,4.339
13/11/2015,4.34
15/11/2015,4.34
16/11/2015,4.349
17/11/2015,4.331
18/11/2015,4.349
19/11/2015,4.321
20/11/2015,4.263
22/11/2015,4.263
23/11/2015,4.288
24/11/2015,4.24
25/11/2015,4.177
26/11/2015,4.202
27/11/2015,4.226
29/11/2015,4.226
30/11/2015,4.198
1/12/2015,4.207
2/12/2015,4.206
3/12/2015,4.203
4/12/2015,4.213
6/12/2015,4.213
7/12/2015,4.219
8/12/2015,4.229
9/12/2015,4.245
10/12/2015,4.264
11/12/2015,4.335
13/12/2015,4.335
